question,answer
夢見自己成了幼兒與父母相處 , 幸運的事情即將發生。可以嘗到美昧可口的咖啡、得到片子招待券等等。你將不覺莞爾一笑。
夢見和父母快樂地有說有笑 , 家中將起波濤。對父母將感覺厭煩，會有離家出走的行為。你還未成年，不要因輕率急躁而遺恨終身，要多多自重。
夢見父母離婚 , 朋友運不如意。你無心的一句話，將引起誤解。假如置之不理，朋友將離你而去，要想法解釋清楚才好。
夢見受母親疼愛 , 在愛情方面將有樂事。約會的地方最好盡可能地選擇清幽的地方，諸如圖書館、博物館、黃昏的公園等等。
夢見被父親痛罵一頓 , 健康方面有不良征兆。尤其要留意的是意外事故，在上下車、橫穿車道時要尤其小心哪。
夢見離開父母而成孤苦伶仃 , 愛情方面將有很大的幸運。假如有意中人，不必遲疑可以進攻，絕對不會被封殺出局。由于這是夢中注定的。
夢見死去的父母,表示你最近有一筆生意會虧本，要特別小心名譽被損壞。夢到死去的母親，表示你不可被他人的花言巧語所迷惑，不然會染上惡習、誤入歧途。
夢見父母離婚,表示朋友運不如意。你無心的一句話，將引起誤解，如果置之不理，朋友將離你而去，要設法解釋清楚才好。
夢見自己殺了父母,這不是壞夢，別擔心，只是你的潛意識里已經準備好想要脫離父母的保護傘了，你想要獨立過自己的生活。你可以好好的跟父母溝通，并讓他們了解你的想法，相信父母可以給你最大的協助。
夢見父母吵架,不管有爭執或是打架，都表示一切將轉好，家運也會慢慢興盛。
夢見健在的祖父母,意味著夢者對老人的懷念之情，暗示夢者有依賴情結，需要彌補自己的不足。
夢見已故的祖父母欲向自己說什么話,這是預示將發生需要倍加小心的事情。
夢見已故的祖父母再世后準備帶著自己外出,警告你有可能由于意外的事故或疾病而死亡，又或者面臨嚴重的憂患。
夢見已故的祖父帶著農具去種,父親或家里的其他人調動工作崗位或搬家。
夢見已故的祖父趕著一頭母牛來到院里或將牛栓在牛棚,即將迎來兒媳、家庭主婦或妻子，或得到意外的財物。
夢見已故的祖父撫摩孫子,在現實中夢里的孫子會患病。
夢見祖父背著孫子或領到屋外,預示近期內孫子會死亡。
夢見祖父母給你零用錢 , 將有極佳的金錢運。但仍有浪費的傾向，所以出去逛街購物時要有節制。
夢見祖父母責罵母親 , 健康方面亮起紅燈。雖有強健的身體，也不可過信自己的體力。 必須保持良好的生活規律，要經常運動，加上充分的營養及休息才可保持健康。
夢見幫祖父母捶背 , 技能方面將進步。這將是練習彈奏吉他的良機，每天加緊練習吧!
夢見祖父母躺在病床上 , 家中可能發生糾葛。你與雙親及兄弟強能發生爭執，注意不要任性。
夢見外祖父母與自己說話了,意味著夢者將得到他人的指導。
夢見已故的外祖父母衣衫襤褸，臉色憔悴,意味著夢者肯關心他人，也能得到他人的支援。
夢見自己家里雇傭一名護士,預示令人煩惱的疾病，或者拜訪朋友時運氣不好。
夢見與護士交朋友,表示不用求人送禮，就能發財。吉夢。
夢見護士離開自己的家,預示家人都很建康。
夢見護士離開病人,代表你將聽信欺騙性的花言巧語。
夢見護士給自己打針,代表著你會病魔纏身。
夢見護士給別人打針,代表關你的身體出現狀況。
已婚女子夢見護士,不久會懷孕，得貴子。
少女夢見有一群美貌的護士,很快要出嫁。
少女夢見和護士爭吵,婚事不順利，遲遲不能出嫁。
病人夢見護士,痛苦很快要過去。
年輕的女人夢見自己是護士,表示通過自我犧牲，她將得到人們的尊敬。
夢見離開護士病人,夢者聽信欺騙性的花言巧語。
未婚者夢見護士,預示將來愛情將甜蜜美滿，對方對你十分關心體貼。
病人夢見護士給自己打針,說明你的疾病會加重。
犯人夢見護士給自己打針,暗示著你的刑期會延長。
女人夢見護士給丈夫打針,意味著你會想方設法獲得丈夫的喜歡。
考生夢見護士給自己打針,在考試成績方面將有高低不平的現象，還可能會由于睡過頭而遲到考場。
單身人士夢見護士給自己打針,代表你容易針對對方某些小缺點發水爭吵，給彼此留一些個人空間更合適。
創業者夢見護士給自己打針,說明你最近財運不錯，創業的項目有實質性進帳。
上班族夢見護士給自己打針,代表你不僅各種業務都能應付自如，還有望走出一片新的天空。和同事關系融洽，贏得不錯的口碑。
夢見皇后,預示自己的運勢不錯，工作上將會得到提升，要把握時機，積極努力向上，成功指日可待。
夢見和皇后爭吵,能發大財。
男人夢見皇后,會經濟受損。
女人夢見皇后,丈夫會心情愉快。
囚犯夢見皇后,很快能恢復自由。
叛國者夢見皇后,不久會成為國家領導人的寵兒。
商人夢見皇后,出國做生意能發大財。
已婚女人夢見自己成了皇后,很快會與丈夫分離，或孩子生病，或者由于丈夫失業，左支右絀。
未婚女子夢見自己當了皇后,嫁到一個有名望富有的家庭。
男人夢見同皇后握手,會受到國家尊重，官運亨通。
男人夢見同皇后握手,會娶富人家的小姐為妻。
已婚女人夢見和皇后握手,會身居高位。
未婚女子夢見和皇后握手,想與意中人結為伴侶，但卻會遭到父母的阻攔。
夢到自己出家當和尚,表示你對于生活現況感到痛苦，對于復雜的人心感到害怕，你已經身心疲憊，想要逃離現實生活，建議你可以讓自己休息一下，出外渡過假，心情會有所平復。
夢見和尚尼姑在念經,是暗示你有苦悶，但如果你還是堅持在傳統老舊的觀念，你將會受到更大的精神磨難。
女人夢見與出家人交談,表示丈夫家的人能和睦相處，生活愉快。
夢見和尚,表示你很想跳脫這段痛不欲生的感情，重新找回自己的靈魂。另一方面也暗示你將會發現自己的過失，并與自己的好友或是同事們重修舊好，忘掉不愉快的過去。
夢見出家人的畫,表示生活富裕安逸。
夢見出家,表示看破紅塵，意味著對人間事物的洞察，是一種智慧。
夢見和尚來拜訪,這是一個很不吉祥的夢，你家里最近可能會遇上困難麻煩事、或是發生什么意外，請多注意小心、不要多管閑事，并留意身體狀況，以保平安。
